,date,min,max,sum,std,var,mean,median,percentile_75,percentile_25,count
0,2022-02-01,0.0,190524.153458221,4485046.2813518625,3246.987424215056,10542927.333010722,394.53257225121945,0.0,0.0,0.0,11368
1,2022-02-02,0.0,65164.062111297215,7351700.309266914,2588.30911868128,6699344.093848664,613.3572759274915,0.0,25.130396163981594,0.0,11986
2,2022-02-03,0.0,251073.00000051,5811637.044574873,4032.6714351329633,16262438.903737353,564.4009949086989,0.0,0.0,0.0,10297
3,2022-02-04,0.0,999836.7993707166,14827603.18662957,13801.624687156134,190484844.00511765,1210.2189998881463,0.0,46.30622115481412,0.0,12252
4,2022-02-05,0.0,94517.81658469253,4207709.839772215,2827.1699309029514,7992889.818201798,497.5416625011488,0.0,14.071397980199787,0.0,8457
5,2022-02-06,0.0,112070.86421260584,8614166.143696364,4990.265644403787,24902751.201716736,869.1520677728145,0.0,19.96817645618546,0.0,9911
6,2022-02-07,0.0,99572.36010559468,5028753.171022341,2286.04220801707,5225988.976835562,450.242024444654,0.0,0.0,0.0,11169
7,2022-02-08,0.0,62629.56736565297,6187091.0373338275,2339.9231102273047,5475240.161775824,483.93359697566115,0.0,0.0,0.0,12785
8,2022-02-09,0.0,74434.7867113212,6075094.908599537,3256.656340835812,10605810.522306101,732.9989030646159,0.0,95.66037663543281,0.0,8288
9,2022-02-10,0.0,134520.12471484824,9363237.026731644,3477.246840697324,12091245.591139521,649.953979364962,0.0,0.0,0.0,14406
10,2022-02-11,0.0,190563.9382293601,8083825.949228477,4933.066034032026,24335140.496120468,588.000141782694,0.0,0.0,0.0,13748
11,2022-02-12,0.0,112105.45401504004,4509289.427851824,2215.8214112221967,4909864.526430728,420.17232834996497,0.0,0.0,0.0,10732
12,2022-02-13,0.0,129097.75933587436,4725590.159527223,3652.760596005608,13342659.971731246,504.60119162063245,0.0,0.0,0.0,9365
13,2022-02-14,0.0,134994.2398005264,6837139.337849152,2981.7996689479805,8891129.265738286,658.7474070574383,0.0,1.683695500045327,0.0,10379
14,2022-02-15,0.0,200803.46384650355,6396888.9185452955,4329.238871468269,18742309.20623185,684.7451208033928,0.0,9.972239588199322,0.0,9342
15,2022-02-16,0.0,50016.03786742935,4713313.013988638,1893.8298712010596,3586591.581053422,419.7073031156401,0.0,0.0,0.0,11230
16,2022-02-17,0.0,53632.059943854765,5299993.710017836,2075.502632617726,4307711.178003111,384.78246769404933,0.0,0.0,0.0,13774
17,2022-02-18,0.0,91399.8690499936,3997304.8669024697,2050.0754125751864,4202809.197245321,363.0283232133748,0.0,0.0,0.0,11011
18,2022-02-19,0.0,80913.8238035018,4744029.646485776,2435.9666881340413,5933933.705698729,446.16097493518066,0.0,0.0,0.0,10633
19,2022-02-20,0.0,63709.45396708719,4774208.801760313,1727.3236509768808,2983646.995224101,377.25869630662294,0.0,0.0,0.0,12655
20,2022-02-21,0.0,296179.6902508788,9301721.572329516,2689.6283230227937,7234100.5160064045,373.4881177405949,0.0,0.0,0.0,24905
21,2022-02-22,0.0,39870.96315485445,4453531.104734311,1308.6428528334252,1712546.116272006,254.80782153188642,0.0,0.0,0.0,17478
22,2022-02-23,0.0,44371.844775100006,7514139.853123148,1590.9918548628125,2531255.0822398127,275.43491269099917,0.0,0.0,0.0,27281
23,2022-02-24,0.0,140351.7149813464,12263042.79422286,2626.753580650149,6899834.373458379,364.2884708499795,0.0,0.0,0.0,33663
24,2022-02-25,0.0,107539.07253264295,7612001.667988368,2316.7514879698783,5367337.4570106445,329.0964837003186,0.0,0.0,0.0,23130
25,2022-02-26,0.0,205707.53975547053,5066787.258244345,3177.8880366985836,10098972.373791978,295.50841352177446,0.0,0.0,0.0,17146
26,2022-02-27,0.0,200149.9547981998,11704814.030306585,3100.4562607078265,9612829.024562359,510.94875285082003,0.0,0.0,0.0,22908
27,2022-02-28,0.0,100024.17725801488,7338061.661095263,2110.088725059981,4452474.427625256,279.1623549073752,0.0,0.0,0.0,26286
28,2022-03-01,0.0,620079.5259304481,10356665.538585937,6328.4030155066475,40048684.726673625,418.75568245940224,0.0,0.0,0.0,24732
29,2022-03-02,0.0,250000.0,6281180.5807244275,3087.944938301946,9535403.941984609,301.0679471180764,0.0,0.0,0.0,20863
30,2022-03-03,0.0,300487.9256111579,6646648.016820611,5032.055060435033,25321578.131249823,362.68951308635883,0.0,0.0,0.0,18326
31,2022-03-04,0.0,1458055.1874820476,11432611.25632583,12868.817393567077,165606461.10897455,552.6738497692077,0.0,0.0,0.0,20686
32,2022-03-05,0.0,168979.6208772112,4109366.5952076525,3566.6328905756363,12720870.176135918,314.7492796574489,0.0,0.0,0.0,13056
33,2022-03-06,0.0,166072.59833608998,6026791.95268161,2641.1205978728804,6975518.012508402,270.97666259078323,0.0,0.0,0.0,22241
34,2022-03-07,0.0,65000.0,6104923.087634321,1469.407841838948,2159159.4056577943,233.02122552900192,0.0,0.0,0.0,26199
35,2022-03-08,0.0,100406.20076733884,7124585.566468309,1704.6180194417905,2905722.592205652,261.5294606294805,0.0,0.0,0.0,27242
36,2022-03-09,0.0,370010.09478245897,6803871.859037921,4516.112483825861,20395271.966567785,246.1247235941948,0.0,0.0,0.0,27644
37,2022-03-10,0.0,47142.4084011062,4359042.579883613,1141.3592920044227,1302701.033444837,164.7532912496641,0.0,0.0,0.0,26458
38,2022-03-11,0.0,75213.63974041383,4745102.580305564,1455.218480608659,2117660.826304974,222.33635930585532,0.0,0.0,0.0,21342
