,date,min,max,sum,std,var,mean,median,percentile_75,percentile_25,count
371,2022-06-07,0.0,8804924.94703059,1501975908.1633608,193801.24724126142,37558923432.26854,49722.77644795448,3051.2442514183253,19081.46427331751,637.7235561310514,30207
372,2022-06-08,0.0,4983223.38599741,970849608.8555918,166388.03855984757,27684979375.79332,42480.51145775758,2679.0332973639497,13414.816990292127,611.4939896524874,22854
373,2022-06-09,0.0,5144465.175268977,814700080.9458635,127208.94826604551,16182116518.953442,27611.336031514387,1243.8723882629279,7080.60374687372,358.6940209348721,29506
374,2022-06-10,0.0,8112108.7841876,1288149545.511468,179185.31051196286,32107375503.268543,42697.78731517345,2512.4018953940927,16038.48708404284,500.0,30169
375,2022-06-11,0.0,5200113.374571993,1920916856.4515815,144657.94065095077,20925919793.373997,40265.72876475876,3995.8171151972074,19924.75439099456,776.8482592488784,47706
376,2022-06-12,0.0,18189631.789706,2764019480.580627,248945.62763187062,61973925517.025986,52872.57265299514,4606.188069520227,21601.437484533813,914.62703,52277
377,2022-06-13,0.0,8105787.951983,3829846227.408377,183686.1655635173,33740607419.42789,57035.89425460739,8078.967376439436,36876.11479995866,1658.7630121809111,67148
378,2022-06-14,0.0,7204390.293161,2073932348.798654,144243.72902833976,20806253364.001106,39832.757438609726,4775.391849093301,21353.87392099396,998.1343838084915,52066
379,2022-06-15,0.0,10491946.1748115,3190053717.8090587,199897.46095847583,39958994897.64536,53133.910486842644,5929.092627146887,28113.106388492764,1214.0838291199273,60038
380,2022-06-16,0.0,13789690.3466135,1592998120.11461,157295.6401078726,24741918396.945385,34197.71843447276,3630.596357872252,16511.682675857985,692.4122765,46582
381,2022-06-17,0.0,16758590.686291087,1271909917.8198707,214984.99655756506,46218548744.85626,38145.09110544238,2967.8004325,15296.565675517433,514.2611978099097,33344
382,2022-06-18,0.0,5251972.574774431,2150200351.388665,136605.84669000233,18661157349.89242,38890.90492310565,4141.865592819075,21703.119609099875,899.1822626055441,55288
383,2022-06-19,0.0,12203372.1477011,1764740000.0495377,166098.83201007586,27588821995.111404,35751.70681407463,3364.3675366822604,15471.982087958026,685.6944735991656,49361
384,2022-06-20,0.0,5995139.237402,1575066939.0730917,136741.92656172332,18698354479.811733,34078.34308559449,3338.658707821533,14406.820351896804,689.7891829243138,46219
385,2022-06-21,0.0,11354385.0223255,1269964773.4155684,167836.3264611361,28169032479.96906,32851.27977173078,3219.6656271138027,12481.714349174224,698.8481046909857,38658
386,2022-06-22,0.0,3712460.1067476366,1049768016.0583483,116593.66837521023,13594083505.188498,29119.778531438234,2773.337274132528,11537.672767923093,528.2140643746309,36050
387,2022-06-23,0.0,4997134.329562,1199952001.0438976,167302.75022847118,27990210234.010216,38926.62041925315,2556.599772194415,12849.157900125756,524.9113014275785,30826
388,2022-06-24,0.0,7110071.168688154,1055756688.8039763,148778.15964479712,22134940787.292736,31940.36088836378,3018.26567475319,12547.758262661962,611.3428706672386,33054
389,2022-06-25,0.0,4200709.6986325,619545556.4232774,95813.69498322353,9180264146.338194,22546.146381719762,2304.877894,10005.421620524208,500.02567887824705,27479
390,2022-06-26,0.0,3823558.903009,724825883.736211,114224.34543183963,13047201089.332222,26110.442497702123,2352.812649949139,10891.025834106153,531.1197347179151,27760
391,2022-06-27,0.0,7778788.462002,738914577.1081498,127829.14695066473,16340290810.134636,27408.827371495594,2821.9488,12013.634715663882,612.0089053675911,26959
392,2022-06-28,0.0,3090456.699382047,934628582.6162819,105915.2921247536,11218049105.871891,29402.855966787738,2813.247908036449,12796.678801033911,608.5083414510432,31787
393,2022-06-29,0.0,11374117.379334938,1061961196.1739869,170357.09974590916,29021541433.837646,33401.308302635305,2864.388595350225,13191.77999469059,635.6795777499999,31794
394,2022-06-30,0.0,6995150.0575645,1484361427.494183,144053.0411342981,20751278660.039783,35974.05427497899,3114.692984276935,15367.226175,672.5721681070099,41262
395,2022-07-01,0.0,4862519.1270045,2065442563.6023033,130214.36267786,16955780247.601261,30437.716460878648,2270.154638587945,10725.15297695472,419.24778896165645,67858
396,2022-07-02,0.0,5547277.494930456,636087962.2383753,137137.86263636092,18806793368.469395,21185.983287982126,1177.1486039685133,6459.62611920276,204.6395996394476,30024
397,2022-07-03,0.0,14914019.9625185,507999937.76280135,143799.97172931524,20678431869.351864,16912.472542624142,1060.6644400957314,5172.765037596263,210.039242,30037
398,2022-07-04,0.0,9305169.815421,1030035879.2891271,134455.69301187433,18078333383.303394,29308.17696085153,2102.375523993172,10807.954323501475,405.14055587899526,35145
399,2022-07-05,0.0,14214396.370639,1236980493.2133658,176274.78804714073,31072800901.064384,35128.51768418953,2994.3179925291174,13834.421125336155,560.0964251232167,35213
400,2022-07-06,0.0,14371933.1411695,1023644269.5715803,167849.71271234518,28173526057.61681,32529.68951225309,2157.5865849472675,11342.200826770633,390.6317187621469,31468
401,2022-07-07,0.0,14987455.5813335,1026373457.1016799,176526.18462547628,31161493858.427742,28125.985342038803,1736.0047980269712,9938.344426200538,354.71615241950576,36492
402,2022-07-08,0.0,7356227.7271966785,1118396821.8275445,142313.81284492215,20253221326.45953,32751.45899694109,2003.9798079404518,10098.25903170672,383.7504021469009,34148
403,2022-07-09,0.0,2149331.4555841656,504076932.3738761,74817.99791995711,5597732812.750707,17159.48163037432,1199.318369962335,5583.484433493,229.7346554718379,29376
